Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty,Variant Command
133497,659,409.0,50,UPDATE
133642,319,198.0,85,UPDATE
134942,299,182.0,86,UPDATE
135081,319,195.0,66,UPDATE
135159,469,292.0,133,UPDATE
135254,269,163.0,136,UPDATE
135420,299,187.0,63,UPDATE
135429,419,260.0,117,UPDATE
135436,559,345.0,177,UPDATE
135457,509,314.0,88,UPDATE
136056,279,174.0,110,UPDATE
141044,359,222.0,157,UPDATE
141247,4209,2628.0,38,UPDATE
142091,589,364.0,32,UPDATE
145062,1329,829.0,124,UPDATE
145060,809,505.0,22,UPDATE
146513,469,290.0,80,UPDATE
802729,1559,971.0,64,UPDATE
3083579,1829,1141.0,62,UPDATE
143764,599,371.0,63,UPDATE
143959,399,245.0,43,UPDATE
144760,2519,1572.0,24,UPDATE
145739,1879,1170.0,43,UPDATE
148665,449,279.0,78,UPDATE
148684,579,360.0,29,UPDATE
149062,259,157.0,125,UPDATE
149578,1679,1047.0,30,UPDATE
151702,609,377.0,122,UPDATE
151974,879,546.0,35,UPDATE
152549,149,92.0,146,UPDATE
153167,2429,1515.0,0,UPDATE
153171,3149,1964.0,61,UPDATE
